announce_date,announce_time,D1BT_LOW,D1BT_HIGH,D2BT_LOW,D2BT_HIGH,D3BT_LOW,D3BT_HIGH,D4BT_LOW,D4BT_HIGH,D5BT_LOW,D5BT_HIGH,D6BT_LOW,D6BT_HIGH,D7BT_LOW,D7BT_HIGH,D1UV,D2UV,D3UV,D4UV,D5UV,D6UV,D7UV,zip_code,area
2021-06-22,17:37,24,29,25,29,26,30,26,33,27,34,28,34,28,34,5,6,6,7,7,8,8,200,基隆市
2021-06-22,17:37,25,29,25,31,26,31,26,34,27,35,28,35,28,35,5,6,6,7,7,7,7,220,新北市
2021-06-22,17:37,24,28,24,30,25,31,26,34,27,35,28,35,28,35,5,6,6,7,7,7,7,100,臺北市
2021-06-22,17:37,24,28,24,32,25,30,25,33,27,34,27,34,28,34,6,6,7,7,7,8,8,330,桃園市
2021-06-22,17:37,24,30,25,31,25,31,26,32,27,33,28,33,28,33,6,7,7,8,8,8,8,300,新竹縣
2021-06-22,17:37,25,31,25,28,25,29,25,31,26,32,27,32,28,32,7,5,6,8,8,8,8,300,新竹市
2021-06-22,17:37,24,30,24,32,25,31,25,32,27,33,27,33,27,33,6,7,7,8,8,8,8,360,苗栗縣
2021-06-22,17:37,25,29,25,31,26,32,26,32,26,32,26,32,26,32,5,7,7,7,7,7,7,400,臺中市
2021-06-22,17:37,25,29,25,30,26,31,26,32,26,32,26,32,26,32,5,7,7,7,7,7,7,500,彰化縣
2021-06-22,17:37,24,29,24,30,24,31,25,32,25,32,25,32,25,32,5,6,7,7,7,7,7,540,南投縣
2021-06-22,17:37,24,28,24,29,24,31,24,32,25,32,25,32,25,32,5,6,7,7,7,8,8,640,雲林縣
2021-06-22,17:37,24,30,24,30,24,32,24,32,25,32,24,32,24,32,5,6,8,7,7,7,7,600,嘉義市
2021-06-22,17:37,25,29,25,29,25,31,25,32,26,32,25,32,25,32,5,6,8,7,7,7,7,600,嘉義縣
2021-06-22,17:37,24,28,24,30,25,30,25,32,26,33,26,33,26,33,6,7,7,8,9,9,9,260,宜蘭縣
2021-06-22,17:37,24,28,25,30,25,30,26,31,26,32,26,32,26,32,7,8,8,9,8,8,9,970,花蓮縣
2021-06-22,17:37,25,30,25,30,25,30,25,31,26,32,26,32,27,32,7,7,8,9,9,9,9,950,臺東縣
2021-06-22,17:37,26,29,26,29,27,30,27,31,27,31,27,31,27,31,6,6,8,8,7,7,7,700,臺南市
2021-06-22,17:37,26,30,26,29,27,30,27,31,27,31,27,31,27,31,6,6,7,7,7,7,7,800,高雄市
2021-06-22,17:37,24,29,24,28,25,30,25,31,25,31,25,31,25,31,6,6,7,8,8,7,8,900,屏東縣
2021-06-22,17:37,23,24,23,25,24,27,24,28,26,28,26,28,26,28,7,6,8,8,7,7,7,350,連江縣
2021-06-22,17:37,24,28,24,29,25,29,26,31,27,31,27,31,27,31,7,8,8,9,9,9,9,362,金門縣
2021-06-22,17:37,26,29,26,29,26,29,26,30,26,31,27,31,27,31,7,7,8,9,9,8,8,880,澎湖縣
